,release_year,type,new_code
0,2019,Movie,USA
1,2019,Movie,IND
2,2019,Movie,PRK
3,2019,Movie,CHN
4,2016,Movie,GBR
5,2013,TV Show,USA
6,2016,TV Show,USA
7,2017,Movie,USA
8,2016,TV Show,ESP
9,2014,Movie,BGR
10,2014,Movie,USA
11,2014,Movie,ESP
12,2014,Movie,CAN
13,2017,Movie,CHL
14,2017,TV Show,USA
15,2014,Movie,USA
16,2014,Movie,GBR
17,2014,Movie,DNK
18,2014,Movie,SWE
19,2017,Movie,USA
20,2015,Movie,NLD
21,2015,Movie,BEL
22,2015,Movie,GBR
23,2015,Movie,USA
24,2009,Movie,USA
25,2013,Movie,USA
26,2016,Movie,USA
27,2012,Movie,USA
28,2017,Movie,USA
29,2010,Movie,USA
30,2013,Movie,USA
31,2015,Movie,FRA
32,2015,Movie,BEL
33,2014,Movie,USA
34,2015,Movie,FRA
35,2015,Movie,BEL
36,2015,Movie,USA
37,2015,Movie,URY
38,2014,Movie,USA
39,2015,Movie,USA
40,2015,Movie,USA
41,2015,TV Show,USA
42,2018,Movie,USA
43,2018,TV Show,USA
44,2011,Movie,THA
45,2018,Movie,CHN
46,2018,Movie,CAN
47,2018,Movie,USA
48,2018,Movie,USA
49,2018,Movie,BEL
50,2018,Movie,GBR
51,2018,Movie,USA
52,2016,Movie,BEL
53,2016,Movie,FRA
54,2019,TV Show,USA
55,2019,Movie,IND
56,2018,Movie,USA
57,2018,Movie,IND
58,2019,Movie,USA
59,2019,TV Show,FRA
60,2015,Movie,USA
61,2014,Movie,IND
62,2015,Movie,GBR
63,2015,Movie,GBR
64,2019,Movie,USA
65,2012,Movie,USA
66,2012,Movie,CAN
67,2009,Movie,THA
68,2014,Movie,THA
69,2016,Movie,THA
70,2009,Movie,THA
71,2004,Movie,THA
72,2011,Movie,THA
73,2016,Movie,USA
74,2017,Movie,USA
75,2016,TV Show,USA
76,2016,Movie,PAK
77,2017,Movie,CAN
78,2019,Movie,USA
79,2019,Movie,IND
80,2018,Movie,USA
81,2015,Movie,GBR
82,2015,Movie,FRA
83,2016,TV Show,USA
84,2019,Movie,GBR
85,2018,TV Show,USA
86,2016,TV Show,USA
87,2012,Movie,USA
88,2012,Movie,GBR
89,2018,TV Show,USA
90,2016,TV Show,USA
91,2017,TV Show,USA
92,2015,TV Show,USA
93,2017,TV Show,USA
94,2017,Movie,PRK
95,2017,TV Show,GBR
96,2016,Movie,DNK
97,2016,Movie,USA
98,2014,TV Show,USA
99,2018,Movie,GBR
100,2018,Movie,USA
101,2010,Movie,TUR
102,2010,Movie,USA
103,2018,Movie,BRA
104,2017,Movie,USA
105,2017,Movie,USA
106,2015,TV Show,USA
107,2017,Movie,USA
108,2017,Movie,USA
109,2017,TV Show,GBR
110,2014,TV Show,USA
111,2015,Movie,USA
112,2019,Movie,USA
113,2019,Movie,DNK
114,2019,Movie,FRA
115,2019,Movie,ITA
116,2019,Movie,BEL
117,2019,Movie,NLD
118,2019,Movie,USA
119,2012,Movie,IDN
120,2018,Movie,CHN
121,2018,Movie,USA
122,2018,Movie,USA
123,2018,TV Show,USA
124,2015,Movie,IDN
125,2018,Movie,IDN
126,2013,Movie,IDN
127,2018,Movie,ESP
128,2016,Movie,IRL
129,2016,Movie,GBR
130,2019,TV Show,IND
131,2018,Movie,TUR
132,2019,TV Show,USA
133,2019,Movie,USA
134,2019,TV Show,USA
135,2019,Movie,USA
136,2019,TV Show,USA
137,2016,Movie,HKG
138,2015,Movie,FRA
139,2015,Movie,MAR
140,2000,Movie,USA
141,2019,Movie,IND
142,2013,Movie,HKG
143,2013,Movie,CHN
144,2018,TV Show,MEX
145,2018,Movie,USA
146,2017,Movie,USA
147,2016,Movie,USA
148,2014,Movie,USA
149,2019,Movie,USA
150,2019,Movie,MEX
151,2019,Movie,VNM
152,2016,Movie,FRA
153,2016,Movie,CAN
154,2019,Movie,IND
155,2019,Movie,IND
156,2016,Movie,USA
157,2018,Movie,USA
158,2017,Movie,USA
159,2016,Movie,GBR
160,2019,Movie,USA
161,2019,Movie,USA
162,2017,Movie,CHN
163,2014,Movie,CAN
164,2017,Movie,ESP
165,2017,Movie,ARG
166,2019,Movie,IND
167,2019,TV Show,USA
168,2018,Movie,USA
169,2016,Movie,USA
170,2016,Movie,USA
171,2019,TV Show,USA
172,2009,Movie,IND
173,2013,Movie,USA
174,2018,Movie,GBR
175,2018,Movie,USA
176,2017,Movie,USA
177,2016,Movie,USA
178,2015,Movie,USA
179,2018,Movie,NGA
180,2018,Movie,NGA
181,2010,Movie,FRA
182,2017,Movie,NGA
183,2019,TV Show,PRK
184,2018,TV Show,USA
185,2018,TV Show,JPN
186,2018,TV Show,GBR
187,2018,TV Show,CAN
188,2018,TV Show,USA
189,2018,TV Show,USA
190,2018,Movie,USA
191,2018,Movie,BRA
192,2018,TV Show,USA
193,2019,Movie,USA
194,2019,TV Show,USA
195,2019,TV Show,USA
196,2019,TV Show,USA
197,2019,TV Show,GBR
198,2019,TV Show,FRA
199,2019,TV Show,DEU
200,2019,TV Show,ESP
201,2019,Movie,USA
202,2019,TV Show,USA
203,2019,TV Show,ESP
204,2018,Movie,TUR
205,2019,Movie,CAN
206,2019,TV Show,USA
207,2016,Movie,HKG
208,2014,TV Show,JPN
209,1983,Movie,HKG
210,2014,Movie,USA
211,2014,Movie,GRC
212,2014,Movie,GBR
213,2017,Movie,USA
214,2018,TV Show,THA
215,2016,Movie,VNM
216,2016,Movie,CHN
217,2016,Movie,USA
218,2016,TV Show,USA
219,2016,TV Show,USA
220,2014,Movie,NOR
221,2014,Movie,GBR
222,2014,Movie,FRA
223,2014,Movie,IRL
224,2019,Movie,IND
225,2009,Movie,FRA
226,2009,Movie,CHE
227,2009,Movie,ESP
228,2009,Movie,USA
229,2009,Movie,ARE
230,2017,Movie,USA
231,2016,TV Show,CAN
232,2016,TV Show,USA
233,2017,Movie,USA
234,2017,TV Show,USA
235,2016,Movie,USA
236,2016,Movie,USA
237,2016,Movie,USA
238,2016,Movie,USA
239,2016,Movie,USA
240,2016,Movie,USA
241,2016,Movie,CAN
242,2016,Movie,USA
243,2016,Movie,GBR
244,2019,TV Show,PRK
245,2018,Movie,USA
246,2017,Movie,USA
247,2011,TV Show,GBR
248,2012,TV Show,USA
249,2009,TV Show,USA
250,2015,Movie,USA
251,2019,Movie,USA
252,2010,TV Show,USA
253,2019,Movie,GBR
254,2017,Movie,USA
255,1982,Movie,HKG
256,2012,Movie,USA
257,2019,TV Show,USA
258,2015,Movie,GBR
259,2015,Movie,CAN
260,2015,Movie,USA
261,2017,TV Show,GBR
262,2016,Movie,USA
263,2014,Movie,USA
264,2010,Movie,USA
265,2010,Movie,GBR
266,2010,Movie,CAN
267,2010,Movie,JPN
268,2016,Movie,CAN
269,2016,Movie,USA
270,2016,Movie,USA
271,2010,Movie,USA
272,2015,Movie,USA
273,2016,Movie,GBR
274,2014,TV Show,USA
275,2018,TV Show,JPN
276,2018,TV Show,CAN
277,2018,TV Show,PRK
278,2017,TV Show,USA
279,2019,Movie,USA
280,2010,TV Show,USA
281,2006,Movie,USA
282,2019,TV Show,USA
283,2014,TV Show,USA
284,2019,Movie,USA
285,2016,TV Show,USA
286,2009,TV Show,USA
287,2017,TV Show,LBN
288,2011,Movie,IDN
289,2017,TV Show,GBR
290,2016,Movie,IRL
291,2018,Movie,IND
292,2017,Movie,IDN
293,2005,Movie,IDN
294,2018,Movie,IND
295,2018,TV Show,USA
296,2017,TV Show,GBR
297,2017,Movie,USA
298,2017,Movie,IND
299,2017,Movie,IND
300,2017,Movie,IND
301,2017,Movie,IND
302,2018,Movie,USA
303,2017,Movie,KHM
304,2017,Movie,USA
305,2013,Movie,RUS
306,2016,Movie,PAK
307,2017,Movie,USA
308,2017,Movie,MEX
309,2016,Movie,MEX
310,2017,Movie,USA
311,2017,Movie,DNK
312,2016,TV Show,GBR
313,2016,Movie,USA
314,2012,Movie,USA
315,2014,TV Show,POL
316,2014,Movie,USA
317,2019,Movie,IND
318,2019,Movie,USA
319,2018,Movie,USA
320,2002,Movie,THA
321,2015,TV Show,USA
322,2018,Movie,JPN
323,2018,TV Show,USA
324,2018,TV Show,USA
325,2018,TV Show,USA
326,2010,Movie,THA
327,2018,TV Show,USA
328,2018,Movie,ISR
329,2018,Movie,USA
330,2018,Movie,USA
331,2018,TV Show,CHN
332,2019,Movie,USA
333,2019,Movie,USA
334,2018,Movie,USA
335,2019,Movie,USA
336,2019,TV Show,USA
337,2018,Movie,TUR
338,2019,TV Show,FRA
339,2019,TV Show,MEX
340,2019,Movie,CHN
341,2019,Movie,USA
342,2018,Movie,USA
343,2019,TV Show,GBR
344,2019,TV Show,USA
345,2018,Movie,USA
346,2017,Movie,USA
347,2016,Movie,USA
348,2019,TV Show,USA
349,2019,TV Show,USA
350,2013,Movie,USA
351,2018,TV Show,PRK
352,2018,Movie,ITA
353,2017,Movie,USA
354,2017,Movie,USA
355,2018,TV Show,USA
356,2018,TV Show,USA
357,2018,Movie,NLD
358,2014,Movie,GBR
359,2019,Movie,USA
360,2019,Movie,GBR
361,2010,Movie,USA
362,2019,Movie,USA
363,2019,Movie,GBR
364,2019,TV Show,USA
365,2018,Movie,USA
366,2017,Movie,USA
367,2000,Movie,USA
368,2000,Movie,CAN
369,1997,Movie,USA
370,2012,Movie,BRA
371,2012,Movie,USA
372,2017,Movie,GBR
373,2017,Movie,CAN
374,2017,Movie,USA
375,2018,Movie,USA
376,2008,Movie,USA
377,2008,Movie,FRA
378,2005,Movie,DEU
379,2005,Movie,USA
380,2005,Movie,CAN
381,2016,TV Show,USA
382,2019,Movie,NGA
383,2007,Movie,USA
384,2009,Movie,USA
385,2003,Movie,USA
386,2003,Movie,AUS
387,2014,Movie,NGA
388,2014,Movie,DNK
389,2014,Movie,BRA
390,2014,Movie,FRA
391,2014,Movie,PRT
392,2014,Movie,SWE
393,2006,Movie,USA
394,2012,Movie,NGA
395,2006,Movie,USA
396,2008,Movie,USA
397,2018,TV Show,GBR
398,2004,Movie,USA
399,1981,Movie,USA
400,2007,Movie,USA
401,2017,Movie,NGA
402,2016,Movie,NGA
403,2006,Movie,USA
404,2010,Movie,FRA
405,2010,Movie,USA
406,1997,Movie,USA
407,2009,Movie,USA
408,2009,Movie,GBR
409,2019,TV Show,USA
410,2018,TV Show,USA
411,2019,Movie,ARE
412,2018,Movie,EGY
413,2008,Movie,USA
414,2018,TV Show,TWN
415,2015,Movie,ESP
416,2005,Movie,USA
417,2017,Movie,FRA
418,2017,Movie,BEL
419,2018,Movie,USA
420,2018,Movie,IND
421,2018,Movie,IND
422,2018,Movie,IND
423,2017,Movie,IND
424,2007,Movie,USA
425,2018,Movie,IND
426,2018,Movie,DEU
427,2018,Movie,AUT
428,2013,Movie,THA
429,2018,TV Show,AUS
430,1991,Movie,MEX
431,2017,Movie,FRA
432,2017,Movie,USA
433,2017,Movie,USA
434,2017,Movie,USA
435,2018,Movie,USA
436,2017,Movie,THA
437,1994,Movie,USA
438,2017,TV Show,RUS
439,2018,Movie,USA
440,2017,TV Show,TWN
441,2017,TV Show,USA
442,1988,Movie,IND
443,2017,Movie,USA
444,2017,TV Show,TWN
445,2012,Movie,JPN
446,2013,Movie,JPN
